role_doc_id,count_roles,role_semantic_evidence,top_anchor_family,contrast_retrieval_ops,contrast_ranking_eval,contrast_candidate_matching,contrast_semantic_search_quality,contrast_production_ml,contrast_matching_finetune_eval,contrast_product_shipper,preview
5565a50a6396f2e4,1814,0.511364,production_ml,0.2629,0.1150,0.2084,0.1810,0.2636,0.2287,0.2136,"Implemented streaming data pipelines on Kafka and Spark Streaming for a real-time user-activity processing platform. Designed the schema-registry integration, t"
2edd7a993255916e,1836,0.375000,production_ml,0.2490,0.0490,0.1469,0.1960,0.2756,0.2186,0.2043,Built and maintained data pipelines on Apache Airflow processing ~500GB of daily transactional data across 12 source systems. Worked extensively with Spark (PyS
8b31edf59cbab67c,25290,0.056818,production_ml,0.1131,0.0965,0.1117,0.0930,0.2104,0.1559,0.0900,Customer support team lead at a SaaS product. Managed a team of 8 support agents handling tier-1 and tier-2 tickets; owned the escalation process to engineering
acaa4a9881aabdf0,25104,0.465909,matching_finetune_eval,0.2058,0.1906,0.2193,0.1936,0.1282,0.2475,0.1719,"Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, pro"
66abc1bc748dee83,25071,0.193182,candidate_matching,0.1090,0.1310,0.1939,0.1467,0.1513,0.1917,0.1328,"Content writing and SEO strategy for a tech-focused publication. Wrote longform articles on developer tools, cloud platforms, and AI/ML topics — including some "
f47d520305b60277,25164,0.034091,retrieval_ops,0.1415,0.1347,0.0963,0.1220,0.0678,0.1405,0.1007,"Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creati"
907092bc762105ea,25207,0.079545,matching_finetune_eval,0.0924,0.0237,0.1162,0.1819,0.1504,0.1908,0.1302,"Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital t"
a7e50b5f7229e756,25029,0.102273,production_ml,0.1811,0.0880,0.0657,0.0897,0.2175,0.1897,0.1539,"Operations management role at a logistics company. Owned daily fulfillment operations across 3 warehouses, managing a team of 80 across receiving, picking, pack"
56693c86c5747f21,25078,0.011364,matching_finetune_eval,0.1363,0.0482,0.0579,0.1090,0.1339,0.1888,0.0632,"Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed"
1ce04f43b438f29f,25237,0.170455,matching_finetune_eval,0.1459,0.1648,0.1566,0.1346,0.1822,0.1942,0.1184,"Marketing leadership role at a B2B SaaS company. Owned the demand-generation function — content marketing, paid acquisition, SEO, email nurture. Built and manag"
9a595493963fd4f2,25515,0.306818,matching_finetune_eval,0.1718,0.1306,0.1695,0.1809,0.2086,0.2357,0.1782,Enterprise sales of cloud software solutions into the mid-market segment. Carried a $1.8M ARR quota and consistently delivered against it across the last three 
9b44c83d2ea03ef8,1807,0.488636,production_ml,0.1923,0.1254,0.1899,0.1805,0.2918,0.2124,0.2410,"Mixed data science and analytics-engineering role at a marketing-analytics startup. Spent maybe 30% of my time on lightweight ML (clustering, classification, ch"
ae7872b9ec04f008,10055,0.352273,product_shipper,0.2035,0.1985,0.1765,0.1755,0.2045,0.1888,0.2489,Android mobile development using Java and (more recently) Kotlin at a consumer-app company. Built and maintained multiple production features including the main
d1b64224e0e6ba6c,9785,0.261364,matching_finetune_eval,0.1133,0.1259,0.1500,0.2097,0.2147,0.2209,0.1640,"Test automation and QA engineering for a fintech product. Built and maintained the end-to-end test suite using Selenium and pytest, plus the load-testing setup "
ba287eb282477007,10025,0.238636,matching_finetune_eval,0.1650,0.1605,0.1553,0.1671,0.1343,0.1952,0.1761,"Frontend engineering at a media company. React, TypeScript, and the typical surrounding tooling (Webpack, Jest, Cypress). Built the company's design system from"
de3727cdae75b6d8,10125,0.147727,production_ml,0.2146,0.0979,0.1359,0.1371,0.2496,0.1714,0.1466,"Cloud infrastructure and DevOps work at an enterprise SaaS company. Owned the AWS account architecture (VPC, IAM, networking), the Terraform modules for our ser"
4cd29b40d20d81e3,10015,0.329545,product_shipper,0.1934,0.1452,0.1569,0.1640,0.2261,0.2063,0.2276,"Java backend development at a large enterprise — Spring Boot microservices, Kafka for inter-service messaging, Postgres + Redis for storage. Worked on the custo"
1f04e6a1326ab658,9911,0.284091,product_shipper,0.1692,0.1406,0.1614,0.1580,0.2057,0.1819,0.2373,Full-stack web application development at a SaaS company. Built React-based admin interfaces and the Node.js REST API backing them. Worked across the stack: fro
f375fb052b6b4df7,65,0.761364,product_shipper,0.2711,0.3141,0.2494,0.2167,0.3183,0.2805,0.3369,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metada
6eff753b6beef6d1,78,0.875000,ranking_eval,0.2923,0.3659,0.3123,0.2568,0.2852,0.3259,0.3400,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the"
beafe9d0c4987e11,328,0.420455,semantic_search_quality,0.1716,0.1387,0.1873,0.3119,0.1915,0.1731,0.2312,Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard. Started with sklearn-based bag-
8e29ded7fb774afa,1823,0.579545,production_ml,0.2483,0.0690,0.1957,0.2206,0.3161,0.2277,0.2232,Backend + data hybrid role at a growth-stage startup. Built the company's first proper data warehouse (migrating from a tangled set of Postgres replicas to a cl
8da76eac31b6f039,1854,0.215909,retrieval_ops,0.2332,0.0043,0.1415,0.1718,0.2176,0.1906,0.1497,"Designed and maintained the analytical data warehouse on Snowflake supporting the BI team's ~50 dashboards. Wrote complex SQL — heavy on window functions, CTEs,"
d15ffbfd3eed000c,366,0.534091,semantic_search_quality,0.2067,0.1676,0.1961,0.2571,0.0734,0.2250,0.2166,Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images. Set up 
aad194d8ca95d817,389,0.602273,production_ml,0.2188,0.1371,0.1802,0.2253,0.3525,0.2110,0.2046,"Contributed to ML feature engineering and model deployment for a fraud-detection product. My main role was engineering: building the Flask-based prediction API,"
cf842bc88a820202,1790,0.556818,production_ml,0.2112,0.1095,0.1926,0.2281,0.3113,0.2009,0.2325,"Backend development with Python (FastAPI), PostgreSQL, and Redis at a B2B SaaS product. Owned the analytics-and-reporting service which serves dashboards to ~3K"
796a73ff14ee486c,359,0.443182,production_ml,0.1820,0.1547,0.1555,0.1799,0.2766,0.2145,0.2394,"Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, conversion likelihood, lifetime value estimation. Used scikit-learn"
bef2af1cf19ba65c,369,0.715909,product_shipper,0.2678,0.3097,0.2490,0.2351,0.2738,0.2588,0.3570,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative f"
a855968446364b24,363,0.397727,production_ml,0.1641,0.1443,0.1400,0.2185,0.2828,0.2060,0.2300,"Worked on time-series forecasting models for supply-chain demand prediction at a logistics company. Built models in Prophet, LightGBM, and (for one project) a s"
074a59cd46041837,64,0.670455,semantic_search_quality,0.2724,0.2026,0.3149,0.4189,0.1592,0.2587,0.2545,"Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to"
8c596ae34f8f65ca,58,0.784091,product_shipper,0.3009,0.3284,0.2631,0.2801,0.2358,0.2654,0.3528,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity 
4f988e5dc4898d40,9,0.852273,product_shipper,0.2910,0.3299,0.2821,0.2775,0.2977,0.2520,0.4078,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combi"
5881ce0cada63e88,12,0.693182,matching_finetune_eval,0.2068,0.2739,0.2808,0.2853,0.2557,0.3601,0.3225,Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 20
f85c9aa5c0f192d6,12,0.988636,matching_finetune_eval,0.3655,0.3771,0.3546,0.3301,0.2699,0.3961,0.3786,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrie
af42079de3f7cfaa,2,0.738636,retrieval_ops,0.3644,0.2446,0.2928,0.2070,0.2853,0.2875,0.2895,Led the engineering team building infrastructure to surface relevant content to users at scale. The system processed billions of documents and served millions o
646562e9ae3d1882,6,0.965909,product_shipper,0.3514,0.3069,0.3912,0.2898,0.2804,0.3537,0.4201,Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. Worked at the intersection of inf
a42266cc2c36d628,60,0.125000,production_ml,0.0504,0.0895,0.1510,0.1992,0.2010,0.1037,0.1856,"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via O"
