summary_doc_id,candidate_count,summary_semantic_evidence,top_anchor_family,preview,summary_ai_curiosity_flag,summary_no_professional_ml_flag,summary_search_retrieval_claim_flag,summary_transition_claim_flag
0b889baf5d475630,1251,0.217105,semantic_search_quality,"Software / data professional with <NUM> years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on th",true,false,false,true
d169f79bd22c307a,20898,0.032895,semantic_search_quality,"Professional with <NUM>+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment ",true,false,false,false
71f57ba28ed0159f,21090,0.006579,semantic_search_quality,"Professional with <NUM>+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment",true,false,false,false
2977cd9b45be0156,1230,0.203947,production_ml,"Software / data professional with <NUM> years of experience building data pipelines, backend systems, and analytics infrastructure. Most of my work has been data pipelines and analytics infrastructure; I've shipped a couple of small ML feat",true,true,false,true
a0741592a7f892f8,6221,0.230263,product_shipper,"Software engineer with <NUM> years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deploymen",true,true,false,true
dcf736ea57cf0d9e,21316,0.019737,semantic_search_quality,"Professional with <NUM>+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — ",true,false,false,false
134810618f0a4e92,6308,0.256579,product_shipper,"Software engineer with <NUM> years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've b",true,true,false,true
e590f50ba888d041,6233,0.243421,product_shipper,"Software engineer with <NUM> years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most ",true,true,false,true
edd1ebed2c1db3f1,432,0.138158,semantic_search_quality,"Project Manager with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery.",true,false,false,false
33cafd550e31f7dc,8,0.677632,retrieval_ops,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
cfb4ed0b4c9b1935,6238,0.190789,semantic_search_quality,"Software engineer with <NUM> years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js most",true,true,false,true
3b93eefe78c6b9cc,467,0.085526,semantic_search_quality,"Operations Manager with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delive",true,false,false,false
0dc8013132422722,1237,0.177632,semantic_search_quality,"Software / data professional with <NUM> years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, no",true,false,false,true
a528ec61f0215afd,500,0.111842,semantic_search_quality,"Graphic Designer with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery",true,false,false,false
8e94e26369d0a6b6,443,0.269737,semantic_search_quality,"Mechanical Engineer with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project deliv",true,false,false,false
521f008ad82e52ee,91,0.335526,production_ml,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classif",false,true,false,false
6e15e8d0b483a667,454,0.059211,semantic_search_quality,"Customer Support with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery",true,false,false,false
eee84ae07de2a3fe,85,0.453947,semantic_search_quality,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classif",false,true,false,true
d3801a6daa110a8f,91,0.388158,semantic_search_quality,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classif",true,true,false,true
08da0f0b9e17b58f,405,0.151316,semantic_search_quality,"Marketing Manager with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project deliver",true,false,false,false
22443751b03e3796,1282,0.296053,semantic_search_quality,"Software / data professional with <NUM> years of experience building data pipelines, backend systems, and analytics infrastructure. I've been the engineer who makes ML possible by getting the data pipelines right; now I want to do more of t",true,false,false,true
6677ab07773e2e20,87,0.440789,semantic_search_quality,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for cus",false,true,false,true
d3343cd80c0e89ba,452,0.046053,semantic_search_quality,"Content Writer with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. ",true,false,false,false
deddc5632fc5216a,440,0.125000,semantic_search_quality,"HR Manager with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Rece",true,false,false,false
69910534e1d85d30,504,0.282895,semantic_search_quality,"Civil Engineer with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. ",true,false,false,false
9ed797dcc4655f2f,460,0.072368,semantic_search_quality,"Business Analyst with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery",true,false,false,false
65b5a7f8d5a897d6,67,0.309211,production_ml,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and sh",false,true,false,false
ce901ec87f54bfcf,474,0.098684,matching_finetune_eval,"Accountant with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Rece",true,false,false,false
d8c45b7c52531d33,85,0.401316,semantic_search_quality,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for cus",true,true,false,true
53693074fe33905a,486,0.164474,semantic_search_quality,"Sales Executive with <NUM>+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery.",true,false,false,false
5861dd47ca6ad0af,85,0.348684,production_ml,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for cus",false,true,false,false
6b33d0f94d8c2c39,88,0.375000,semantic_search_quality,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter",true,true,false,true
398882dad47fec13,80,0.414474,semantic_search_quality,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter",false,true,false,true
3ca096b8f5178d0a,76,0.322368,production_ml,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and sh",true,true,false,true
1266c7092344017b,7,0.690789,semantic_search_quality,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
32cc2504043257c0,1,0.901316,product_shipper,"Senior AI engineer with <NUM> years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vecto",false,false,true,false
4f2f979f6a015350,84,0.361842,production_ml,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter",false,true,false,false
509a2549e540e8e5,81,0.427632,product_shipper,"Data scientist / ML engineer with <NUM> years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and sh",false,true,false,true
dd013e868e7db6c5,17,0.651316,production_ml,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
7c211303c894628b,1,0.796053,product_shipper,"Senior AI engineer with <NUM> years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I drove the platform's RAG strategy from prototype to production, including the eval f",false,false,true,false
3bde5d4cd4349d33,8,0.756579,product_shipper,"Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to product experience, though most of my time h",false,false,false,false
1988be0150d7eede,8,0.664474,semantic_search_quality,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
cce5b0df69d92a59,8,0.585526,production_ml,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
4c569beccd48345f,1,0.835526,product_shipper,"Senior AI engineer with <NUM> years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I owned the offline-online evaluation harness — NDCG/MRR/recall calibrated to live A/B",false,false,true,false
571c9b9132eacb1e,5,0.467105,production_ml,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
f447e7c962930255,10,0.493421,product_shipper,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
8ba5b0006d7d28a1,5,0.480263,production_ml,"Machine learning engineer with <NUM> years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployme",false,false,true,false
